CustID	age	default	balance	housing	loan	contact
1257	59	no	901	yes	no	unknown
1258	30	no	2573	yes	no	unknown
1259	36	no	143	yes	yes	unknown
1260	40	no	475	yes	no	unknown
1261	53	no	70	yes	no	unknown
1262	34	no	318	yes	no	unknown
1263	37	no	275	yes	no	unknown
1264	42	no	742	yes	no	unknown
1265	41	no	236	yes	no	unknown
1266	30	no	25	yes	no	unknown
1267	37	no	600	yes	no	unknown
1268	39	no	-349	yes	no	unknown
1269	41	no	183	yes	yes	unknown
1270	40	no	0	yes	no	unknown
1271	42	no	0	yes	yes	unknown
1272	40	no	0	yes	no	unknown
1273	57	no	1078	yes	no	unknown
1274	56	no	155	no	no	unknown
1275	37	no	190	yes	no	unknown
1276	59	no	319	yes	no	unknown
1277	39	no	-185	yes	no	unknown
1278	49	no	47	no	no	unknown
1279	38	no	570	yes	no	unknown
1280	36	no	19	no	no	unknown
1281	50	no	61	yes	no	unknown
1282	41	no	-62	yes	yes	unknown
1283	54	no	258	no	no	unknown
1284	58	no	76	yes	no	unknown
1285	30	no	0	yes	no	unknown
1286	33	no	352	yes	no	unknown
1287	47	no	368	yes	no	unknown
1288	50	no	339	yes	no	unknown
1289	32	no	1331	yes	no	unknown
1290	40	no	672	yes	no	unknown
1291	37	no	58	yes	no	unknown
1292	54	no	447	yes	no	unknown
1293	24	no	423	yes	no	unknown
1294	54	no	0	no	no	unknown
1295	34	no	19	yes	no	unknown
1296	56	no	13	yes	no	unknown
1297	31	no	3	yes	no	unknown
1298	24	no	82	yes	no	unknown
1299	42	no	28	yes	no	unknown
1300	57	no	792	yes	no	unknown
1301	42	no	408	yes	no	unknown
1302	51	no	531	yes	no	unknown
1303	57	no	211	yes	no	unknown
1304	36	no	62	yes	no	unknown
1305	53	no	257	yes	no	unknown
1306	50	no	1234	yes	no	unknown
1307	54	no	313	yes	no	unknown
1308	55	no	89	yes	no	unknown
1309	44	no	129	yes	yes	unknown
1310	43	no	0	yes	no	unknown
1311	56	no	353	yes	no	unknown
1312	54	no	851	yes	no	unknown
1313	55	no	96	yes	yes	unknown
1314	37	no	398	yes	yes	unknown
1315	33	no	193	no	no	unknown
1316	46	no	-358	yes	no	unknown
1317	36	no	539	yes	yes	unknown
1318	51	no	0	yes	no	unknown
1319	40	no	0	no	no	unknown
1320	42	no	490	yes	no	unknown
1321	51	no	0	yes	no	unknown
1322	49	no	403	yes	no	unknown
1323	48	no	161	yes	no	unknown
1324	32	no	2558	no	no	unknown
1325	31	no	98	yes	no	unknown
1326	55	no	115	no	no	unknown
1327	40	no	436	yes	no	unknown
1328	47	no	831	yes	no	unknown
1329	57	no	206	yes	no	unknown
1330	41	no	290	yes	no	unknown
1331	48	no	1	no	no	unknown
1332	42	no	57	yes	no	unknown
1333	30	no	-457	yes	no	unknown
1334	58	no	1387	yes	no	unknown
1335	45	no	24598	yes	no	unknown
1336	49	no	30	yes	no	unknown
1337	42	no	1022	yes	no	unknown
1338	53	no	56	yes	yes	unknown
1339	51	yes	-2	no	no	unknown
1340	32	no	121	yes	no	unknown
1341	41	no	842	yes	no	unknown
1342	43	no	693	yes	no	unknown
1343	40	no	-333	yes	no	unknown
1344	50	no	1533	yes	no	unknown
1345	34	no	46	yes	no	unknown
1346	53	no	18	no	no	unknown
1347	45	no	44	yes	no	unknown
1348	39	no	-100	yes	no	unknown
1349	44	no	510	yes	no	unknown
1350	55	no	685	yes	no	unknown
1351	46	no	187	yes	no	unknown
1352	45	no	66	yes	no	unknown
1353	34	no	560	yes	no	unknown
1354	36	no	0	yes	no	unknown
1355	59	no	27	no	no	unknown
1356	31	no	12	yes	no	unknown
1357	44	no	34	yes	no	unknown
1358	33	no	1068	yes	no	unknown
1359	40	no	211	yes	no	unknown
1360	46	no	377	yes	no	unknown
1361	48	no	263	yes	no	unknown
1362	42	no	1263	yes	no	unknown
1363	27	no	8	yes	no	unknown
1364	48	no	126	yes	yes	unknown
1365	59	no	230	yes	no	unknown
1366	46	no	841	yes	no	unknown
1367	38	no	308	yes	no	unknown
1368	43	no	1	yes	no	unknown
1369	38	no	86	yes	no	unknown
1370	23	no	157	yes	no	unknown
1371	34	no	22	yes	no	unknown
1372	38	no	46	yes	yes	unknown
1373	37	no	1293	no	no	unknown
1374	25	no	122	yes	no	unknown
1375	48	no	131	yes	no	unknown
1376	49	no	143	yes	no	unknown
1377	38	no	393	no	no	unknown
1378	43	no	98	yes	no	unknown
1379	33	no	0	yes	no	unknown
1380	55	no	224	yes	no	unknown
1381	38	no	757	yes	no	unknown
1382	49	no	245	yes	yes	unknown
1383	40	no	8486	no	no	unknown
1384	43	no	350	no	no	unknown
1385	38	no	20	yes	no	unknown
1386	58	no	1667	yes	yes	unknown
1387	57	no	345	yes	no	unknown
1388	32	no	10	yes	no	unknown
1389	56	no	830	yes	yes	unknown
1390	58	no	29	yes	no	unknown
1391	60	no	545	yes	no	unknown
1392	37	no	8730	yes	no	unknown
1393	46	no	477	yes	no	unknown
1394	27	no	4	yes	no	unknown
1395	43	no	1205	yes	no	unknown
1396	32	no	0	yes	yes	unknown
1397	40	no	263	yes	no	unknown
1398	38	no	1	no	no	unknown
1399	34	no	283	no	yes	unknown
1400	47	no	206	yes	no	unknown
1401	42	no	17	yes	no	unknown
1402	48	no	141	yes	yes	unknown
1403	29	no	16	yes	no	unknown
1404	50	no	206	yes	no	unknown
1405	52	no	7	no	no	unknown
1406	50	no	0	no	no	unknown
1407	58	no	0	no	no	unknown
1408	46	no	1927	yes	no	unknown
1409	38	no	284	yes	no	unknown
1410	46	no	1660	yes	no	unknown
1411	32	no	406	yes	no	unknown
1412	51	no	230	yes	no	unknown
1413	39	no	-25	yes	no	unknown
1414	48	no	182	yes	no	unknown
1415	36	no	1169	yes	no	unknown
1416	34	no	67	yes	no	unknown
1417	40	no	77	no	no	unknown
1418	43	no	0	yes	no	unknown
1419	52	no	55	yes	yes	unknown
1420	33	yes	72	yes	no	unknown
1421	49	no	163	yes	no	unknown
1422	32	no	151	yes	no	unknown
1423	39	no	113	yes	no	unknown
1424	40	no	0	yes	no	unknown
1425	38	no	9	yes	no	unknown
1426	43	no	375	yes	no	unknown
1427	39	no	1142	yes	no	unknown
1428	54	no	2102	yes	no	unknown
1429	38	no	4325	yes	no	unknown
1430	40	no	217	yes	no	unknown
1431	55	no	131	yes	no	unknown
1432	42	no	1680	yes	no	unknown
1433	39	no	0	yes	no	unknown
1434	40	no	46	yes	no	unknown
1435	32	no	320	yes	no	unknown
1436	55	no	183	yes	no	unknown
1437	45	no	39	no	no	unknown
1438	35	no	560	yes	no	unknown
1439	58	no	469	no	no	unknown
1440	35	no	530	yes	no	unknown
1441	49	no	61	yes	no	unknown
1442	34	no	242	yes	no	unknown
1443	36	no	139	yes	no	unknown
1444	24	no	0	yes	no	unknown
1445	34	no	367	yes	no	unknown
1446	51	no	228	yes	no	unknown
1447	39	no	45248	yes	no	unknown
1448	50	no	-84	yes	no	unknown
1449	32	no	310	yes	no	unknown
1450	42	no	132	yes	no	unknown
1451	50	no	797	yes	no	unknown
1452	40	no	71	no	no	unknown
1453	46	no	2	yes	no	unknown
1454	37	no	231	yes	yes	unknown
1455	34	no	270	yes	yes	unknown
1456	44	no	274	yes	yes	unknown
1457	40	no	-109	yes	yes	unknown
1458	37	no	1	yes	no	unknown
1459	33	yes	-60	no	no	unknown
1460	35	no	89	yes	no	unknown
1461	58	no	-11	no	no	unknown
1462	39	no	0	yes	no	unknown
1463	43	no	-509	yes	no	unknown
1464	39	no	408	yes	no	unknown
1465	36	no	58	yes	no	unknown
1466	57	no	1640	no	yes	unknown
1467	36	no	20	yes	no	unknown
1468	50	no	71	yes	no	unknown
1469	55	no	52	yes	no	unknown
1470	44	no	292	yes	no	unknown
1471	44	no	424	yes	no	unknown
1472	39	no	109	yes	no	unknown
1473	46	no	1044	yes	no	unknown
1474	39	no	983	yes	no	unknown
1475	34	no	869	no	no	unknown
1476	40	no	668	yes	no	unknown
1477	50	no	964	yes	no	unknown
1478	31	no	301	yes	no	unknown
1479	37	no	140	yes	no	unknown
1480	39	no	1877	yes	no	unknown
1481	51	no	1127	yes	no	unknown
1482	41	no	871	yes	no	unknown
1483	41	no	767	yes	yes	unknown
1484	43	no	0	no	no	unknown
1485	30	no	209	yes	no	unknown
1486	54	no	0	no	no	unknown
1487	43	no	110	yes	yes	unknown
1488	59	no	-76	yes	yes	unknown
1489	47	no	178	yes	no	unknown
1490	40	no	-66	yes	no	unknown
1491	32	no	0	yes	no	unknown
1492	29	no	1	yes	no	unknown
1493	36	no	0	yes	no	unknown
1494	55	no	5345	no	no	unknown
1495	30	no	-209	yes	no	unknown
1496	39	no	0	yes	no	unknown
1497	39	no	42	yes	no	unknown
1498	50	no	41	yes	no	unknown
1499	44	no	-99	yes	no	unknown
1500	37	no	17	yes	no	unknown
1501	46	no	276	yes	yes	unknown
1502	32	no	-170	no	no	unknown
1503	37	no	230	yes	yes	unknown
1504	29	no	9	yes	no	unknown
1505	41	no	946	yes	no	unknown
1506	45	no	1297	yes	no	unknown
1507	57	no	-331	yes	no	unknown
1508	48	no	44	yes	no	unknown
1509	60	yes	15	no	no	unknown
1510	26	no	712	yes	no	unknown
1511	58	no	5435	yes	no	unknown
1512	34	no	507	yes	no	unknown
1513	55	no	387	yes	no	unknown
1514	41	no	0	yes	yes	unknown
1515	50	no	1716	yes	no	unknown
1516	49	no	167	yes	yes	unknown
1517	44	no	40	no	yes	unknown
1518	44	no	148	yes	no	unknown
1519	31	no	17	yes	yes	unknown
1520	34	no	1011	yes	no	unknown
1521	46	no	1527	yes	no	unknown
1522	42	no	744	no	no	unknown
1523	52	no	484	yes	no	unknown
1524	29	no	0	yes	no	unknown
1525	53	no	136	yes	no	unknown
1526	43	no	1335	yes	no	unknown
1527	38	no	517	yes	no	unknown
1528	46	no	459	yes	no	unknown
1529	48	no	549	yes	no	unknown
1530	30	no	83	yes	yes	unknown
1531	44	no	213	no	no	unknown
1532	31	no	203	yes	no	unknown
1533	42	no	518	yes	no	unknown
1534	40	no	3877	yes	no	unknown
1535	52	no	1236	yes	no	unknown
1536	45	no	756	yes	no	unknown
1537	48	no	157	yes	no	unknown
1538	45	no	-66	yes	no	unknown
1539	34	no	245	yes	no	unknown
1540	34	no	-144	yes	no	unknown
1541	46	no	71	yes	no	unknown
1542	49	no	505	yes	no	unknown
1543	50	no	249	yes	no	unknown
1544	34	no	0	yes	no	unknown
1545	40	no	11	yes	no	unknown
1546	36	no	639	yes	no	unknown
1547	59	no	124	yes	no	unknown
1548	45	no	82	yes	no	unknown
1549	36	no	107	yes	no	unknown
1550	56	no	473	yes	no	unknown
1551	42	no	372	yes	yes	unknown
1552	30	no	46	yes	no	unknown
1553	30	no	34	yes	no	unknown
1554	47	no	935	yes	no	unknown
1555	33	no	-10	yes	no	unknown
1556	36	no	-106	yes	no	unknown
1557	39	no	471	yes	no	unknown
1558	56	no	778	yes	no	unknown
1559	39	no	170	yes	no	unknown
1560	42	no	315	yes	no	unknown
1561	52	no	3165	no	no	unknown
1562	36	no	131	yes	no	unknown
1563	35	yes	204	yes	no	unknown
1564	47	no	83	yes	no	unknown
1565	59	no	0	yes	yes	unknown
1566	57	no	5431	yes	yes	unknown
1567	38	no	1759	yes	no	unknown
1568	46	no	-125	yes	no	unknown
1569	34	no	0	no	no	unknown
1570	28	no	5090	yes	no	unknown
1571	38	no	573	yes	no	unknown
1572	56	no	1602	yes	no	unknown
1573	41	yes	-137	yes	yes	unknown
1574	52	no	0	no	no	unknown
1575	54	no	193	no	no	unknown
1576	61	no	195	yes	yes	unknown
1577	53	no	288	no	no	unknown
1578	47	no	19	yes	no	unknown
1579	53	no	25	yes	no	unknown
1580	46	no	216	yes	no	unknown
1581	39	no	190	yes	yes	unknown
1582	56	no	99	yes	no	unknown
1583	55	no	2298	yes	no	unknown
1584	44	no	17	yes	no	unknown
1585	37	no	0	yes	no	unknown
1586	35	no	0	yes	no	unknown
1587	55	no	840	yes	no	unknown
1588	37	no	358	yes	no	unknown
1589	30	no	0	yes	no	unknown
1590	37	no	-325	yes	yes	unknown
1591	36	no	-15	yes	no	unknown
1592	38	no	581	yes	no	unknown
1593	41	no	4070	yes	no	unknown
1594	48	no	74	no	yes	unknown
1595	55	no	141	yes	no	unknown
1596	28	no	89	no	no	unknown
1597	54	yes	0	yes	no	unknown
1598	30	no	450	no	no	unknown
1599	48	no	310	no	no	unknown
1600	31	no	0	yes	no	unknown
1601	38	no	384	yes	no	unknown
1602	37	no	395	yes	no	unknown
1603	37	no	-118	yes	no	unknown
1604	56	no	5	yes	yes	unknown
1605	51	no	50	yes	yes	unknown
1606	39	no	285	yes	yes	unknown
1607	49	no	15	no	no	unknown
1608	51	no	653	yes	yes	unknown
1609	43	no	918	yes	no	unknown
1610	32	no	243	yes	yes	unknown
1611	29	no	405	yes	no	unknown
1612	48	no	1328	yes	no	unknown
1613	55	no	255	yes	no	unknown
1614	53	no	3397	yes	no	unknown
1615	47	no	2106	yes	no	unknown
1616	39	no	2877	yes	no	unknown
1617	31	no	60	yes	yes	unknown
1618	39	no	2226	yes	no	unknown
1619	40	no	2880	yes	no	unknown
1620	40	no	-5	yes	no	unknown
1621	48	no	147	no	no	unknown
1622	33	no	7	yes	yes	unknown
1623	40	no	109	yes	no	unknown
1624	59	no	-119	yes	no	unknown
1625	30	no	484	yes	no	unknown
1626	31	no	1852	yes	no	unknown
1627	35	no	533	yes	no	unknown
1628	54	no	21	yes	no	unknown
1629	34	no	2434	yes	no	unknown
1630	32	no	90	yes	yes	unknown
1631	56	no	4246	yes	no	unknown
1632	32	no	395	yes	no	unknown
1633	42	no	15	yes	no	unknown
1634	33	no	85	no	no	unknown
1635	52	no	-184	yes	yes	unknown
1636	52	no	660	no	no	unknown
1637	52	yes	-183	yes	no	unknown
1638	30	no	1144	yes	no	unknown
1639	44	no	1	yes	no	unknown
1640	35	no	69	yes	yes	unknown
1641	55	no	220	yes	no	unknown
1642	33	no	332	yes	no	unknown
1643	37	no	240	yes	no	unknown
1644	42	no	0	yes	no	unknown
1645	43	no	0	yes	no	unknown
1646	38	no	898	yes	no	unknown
1647	37	no	123	yes	yes	unknown
1648	31	no	252	yes	no	unknown
1649	41	no	65	yes	no	unknown
1650	41	no	-366	yes	yes	unknown
1651	29	no	209	yes	no	unknown
1652	38	no	221	yes	no	unknown
1653	44	no	4	yes	no	unknown
1654	39	no	104	yes	no	unknown
1655	28	no	312	yes	no	unknown
1656	33	no	-349	yes	no	unknown
1657	41	no	4	no	no	unknown
1658	40	no	-322	yes	yes	unknown
1659	29	no	-150	yes	no	unknown
1660	38	no	1349	yes	no	unknown
1661	32	no	281	yes	no	unknown
1662	45	no	1259	yes	no	unknown
1663	33	no	101	yes	no	unknown
1664	34	no	848	yes	no	unknown
1665	41	no	89	yes	no	unknown
1666	41	no	140	yes	no	unknown
1667	35	no	148	yes	no	unknown
1668	40	no	200	yes	no	unknown
1669	60	no	46	yes	no	unknown
1670	47	no	201	yes	no	unknown
1671	46	no	530	yes	no	unknown
1672	31	no	0	yes	no	unknown
1673	49	no	1	yes	no	unknown
1674	29	no	43	yes	no	unknown
1675	31	no	-173	yes	no	unknown
1676	38	no	389	yes	no	unknown
1677	37	no	215	yes	yes	unknown
1678	35	no	-131	yes	no	unknown
1679	31	no	783	yes	no	unknown
1680	41	no	0	yes	no	unknown
1681	46	no	80	yes	no	unknown
1682	40	no	105	yes	no	unknown
1683	29	no	182	yes	yes	unknown
1684	49	no	82	yes	no	unknown
1685	42	no	0	yes	no	unknown
1686	54	no	510	yes	no	unknown
1687	40	no	242	yes	no	unknown
1688	53	no	244	yes	yes	unknown
1689	49	no	92	yes	no	unknown
1690	40	yes	0	yes	no	unknown
1691	29	no	948	yes	no	unknown
1692	36	no	23	yes	no	unknown
1693	37	no	710	yes	no	unknown
1694	39	no	1205	yes	no	unknown
1695	36	no	368	yes	yes	unknown
1696	44	no	1631	yes	no	unknown
1697	40	no	6	yes	no	unknown
1698	49	no	26	yes	no	unknown
1699	30	no	-48	yes	no	unknown
1700	57	no	2142	yes	no	unknown
1701	24	no	77	yes	yes	unknown
1702	46	no	401	yes	no	unknown
1703	33	no	21	no	no	unknown
1704	43	no	0	yes	no	unknown
1705	43	no	-497	yes	no	unknown
1706	40	no	369	no	no	unknown
1707	44	no	78	yes	no	unknown
1708	35	no	226	yes	yes	unknown
1709	47	no	503	yes	no	unknown
1710	33	no	372	yes	no	unknown
1711	31	no	0	yes	yes	unknown
1712	40	no	0	yes	no	unknown
1713	36	no	125	yes	no	unknown
1714	56	no	4	yes	no	unknown
1715	40	no	419	yes	no	unknown
1716	41	no	322	yes	no	unknown
1717	53	no	303	yes	no	unknown
1718	39	no	607	yes	no	unknown
1719	44	no	579	yes	no	unknown
1720	38	no	3047	yes	no	unknown
1721	54	no	83	yes	no	unknown
1722	58	no	68	yes	no	unknown
1723	52	no	58	yes	no	unknown
1724	28	no	251	yes	no	unknown
1725	36	no	688	yes	no	unknown
1726	60	no	364	yes	no	unknown
1727	42	no	55	yes	no	unknown
1728	42	no	101	yes	no	unknown
1729	44	no	105	yes	no	unknown
1730	51	no	325	yes	no	unknown
1731	49	no	198	yes	no	unknown
1732	47	no	209	yes	no	unknown
1733	37	no	183	yes	no	unknown
1734	34	no	105	yes	no	unknown
1735	35	no	109	yes	no	unknown
1736	35	no	376	yes	yes	unknown
1737	40	no	-7	yes	no	unknown
1738	55	no	0	no	no	unknown
1739	55	no	143	yes	no	unknown
1740	35	no	550	yes	no	unknown
1741	57	no	162	yes	no	unknown
1742	53	no	115	yes	no	unknown
1743	41	no	512	yes	no	unknown
1744	57	no	807	yes	no	unknown
1745	45	no	248	yes	no	unknown
1746	43	no	1211	yes	no	unknown
1747	56	no	7	no	no	unknown
1748	31	no	281	yes	no	unknown
1749	37	no	88	yes	no	unknown
1750	30	no	32	yes	no	unknown
1751	30	no	115	yes	no	unknown
1752	54	no	254	yes	no	unknown
1753	36	no	144	yes	no	unknown
1754	55	no	383	no	no	unknown
1755	37	no	569	yes	yes	unknown
1756	38	no	0	yes	no	unknown
1757	48	no	3754	yes	no	unknown
1758	55	no	6920	yes	no	unknown
1759	59	no	307	yes	yes	unknown
1760	37	no	-421	yes	no	unknown
1761	33	no	60	no	no	unknown
1762	44	no	67	yes	no	unknown
1763	57	no	402	yes	no	unknown
1764	30	no	800	no	no	unknown
1765	42	no	239	yes	yes	unknown
